id,date,user,pc,to,cc,bcc,from,size,attachments,content
{B5B3-J5PY75RL-8668CYEL},08/31/2010 10:26:56,HFC0492,PC-4332,Banks-Kellie@harris.com,,,Hayley.Faith.Church@dtaa.com,18131,0,analyze degree people years management relocation self contribute initiative sales benefits equivalent skills resume skills concepts dynamic experience multitask permanent team required experience customer team visual guidance technologies passion passion benefits sales benefits team report multiple growth team strong benefits management people develop part-time on-time report skills experience opening platform management hours industry hours develop develop experience contribute contribute

{M4I1-O7ZQ04DB-9450JQXZ},08/31/2010 12:05:16,HFC0492,PC-4332,Banks-Kellie@harris.com,,,Hayley.Faith.Church@dtaa.com,18049,0,report skills starter industry equivalent multitask degree growth technologies initiative contribute customer people growth technologies process team platform years technologies team team contribute required develop platform multitask industry management degree on-time technologies permanent part-time dynamic responsibilities people call resume industry multitask engineer

{G8T8-L0PU94AE-0564DXYU},08/31/2010 12:42:24,HFC0492,PC-4332,Banks-Kellie@harris.com,,,Hayley.Faith.Church@dtaa.com,18609,0,resume analyze report people expert self opening experience benefits required develop multitask customer on-line hours equivalent required multitask concepts strong process analyze initiative job responsibilities passion responsibilities customer opening degree concepts concepts job equivalent sales multitask analyze responsibilities responsibilities resume platform required

{U6E4-T0SM22SE-1853GVEF},09/03/2010 12:54:46,HFC0492,PC-4332,Banks-Kellie@harris.com,,,Hayley.Faith.Church@dtaa.com,23207,1,required multitask concepts growth technologies starter years resume job responsibilities expert sales opening guidance sales job benefits opening resume benefits responsibilities years experience expert develop equivalent years hours opening team initiative multiple passion benefits develop dynamic part-time customer multitask platform

{V9K8-W0NA57OL-6612XVMS},09/03/2010 13:00:28,HFC0492,PC-4332,Banks-Kellie@harris.com,,,Hayley.Faith.Church@dtaa.com,18729,0,resume industry guidance resume management passion equivalent part-time technologies experience guidance part-time team interface on-time concepts team equivalent guidance passion benefits customer industry team guidance team multitask years team years people job

{Z7T0-B8LH86PO-0207LFLO},09/09/2010 14:46:34,HFC0492,PC-4332,Banks-Kellie@harris.com,,,Hayley.Faith.Church@dtaa.com,21756,0,team multitask team people responsibilities develop customer multiple initiative required skills multitask resume platform years responsibilities opening skills multiple multitask benefits guidance benefits team permanent required passion job analyze industry people management benefits sales customer interface required experience people start start concepts years passion contribute concepts contribute industry permanent starter passion opening degree dynamic benefits resume multiple interface platform required

{N7Z9-E0TO83ZC-7025HIRC},09/10/2010 08:02:16,HFC0492,PC-4332,Banks-Kellie@harris.com,,,Hayley.Faith.Church@dtaa.com,36244,0,growth interface years multitask strong years opening passion self benefits required experience compensation industry degree start dynamic contribute guidance job responsibilities resume skills opening develop growth contribute opening hours experience contribute

{V5X8-Z2BS76VW-6988JDYD},09/10/2010 08:05:09,HFC0492,PC-4332,Banks-Kellie@harris.com,,,Hayley.Faith.Church@dtaa.com,59801,0,benefits salary compensation skills years guidance dynamic growth multitask equivalent initiative equivalent self concepts initiative industry benefits management growth starter resume on-time sales technologies industry salary management customer management resume interface customer expert visual contribute self on-time required initiative benefits people recruiter industry process multitask skills interface benefits multiple required experience industry salary interface develop responsibilities concepts

{X0Z5-W0CI63OS-2475JLUC},09/10/2010 12:45:05,HFC0492,PC-4332,Banks-Kellie@harris.com,,,Hayley.Faith.Church@dtaa.com,36368,0,multitask experience team process contribute analyze relocation passion years opening interface team part-time customer dynamic starter sales passion skills starter responsibilities guidance degree hours develop strong sales passion initiative multitask multiple required analyze growth team skills report visual platform concepts visual required report multitask people people passion people

{H8D3-P4KC15YP-7739SNHO},09/15/2010 15:48:51,HFC0492,PC-4332,Banks-Kellie@harris.com,,,Hayley.Faith.Church@dtaa.com,53316,0,customer technologies salary starter hours dynamic dynamic resume skills platform required skills skills develop degree skills self multitask responsibilities degree strong equivalent initiative dynamic degree team opening initiative skills experience responsibilities passion equivalent customer people permanent management sales customer on-time growth benefits strong technologies job dynamic people analyze expert interface permanent responsibilities skills develop engineer dynamic resume people industry permanent years years industry interface guidance permanent multitask people report responsibilities

{L2W4-R5NX10VO-4144NUVY},10/05/2010 07:30:09,HFC0492,PC-4332,Hayfa.Sheila.Donovan@dtaa.com,,,Hayley.Faith.Church@dtaa.com,33246,0,tender opportunity my opportunity resign opportunity interview key tender resignation resignation exit my week resign letter exit position position of resign position interview week week opportunity my opportunity position interview opportunity my exit notice of of position position

{M5E7-W6HQ93IE-2962BFDO},07/08/2010 11:51:00,KTW0365,PC-9776,Tatiana.Indira.Hanson@dtaa.com,,,Kyle.Tanner.Whitaker@dtaa.com,28771,0,my work not appreciated i work weekends fed up my work not appreciated complaints i work weekends no gratitude no gratitude my work not appreciated my work not appreciated my work not appreciated my work not appreciated i work holidays i work holidays i work after-hours company will suffer i work holidays company will suffer i work weekends company will suffer i work holidays fed up company will suffer fed up i work weekends i may leave too much my work not appreciated my work not appreciated i work holidays my work not appreciated company will suffer i may leave too much i may leave i work holidays complaints i work holidays too much i work after-hours my work not appreciated company will suffer company will suffer my work not appreciated

{S7R0-O4QK56GS-0257MCIC},07/08/2010 12:29:27,TIH0348,PC-2340,Kyle.Tanner.Whitaker@dtaa.com,,,Tatiana.Indira.Hanson@dtaa.com,25020,0,hard job vacation vacation rest valued employee valued employee hard job valued employee training training valued employee you are appreciated rest good work lets talk training good work schedule you are appreciated you are appreciated vacation you are appreciated vacation you are appreciated good work valued employee rest vacation you are appreciated vacation lets talk good work hard job hard job valued employee good work rest you are appreciated lunch hard job vacation lets talk lunch good work lets talk lets talk rest lunch schedule lunch you are appreciated

{A0G8-T3CH95YI-0492KKLI},07/08/2010 13:15:49,KTW0365,PC-9776,Tatiana.Indira.Hanson@dtaa.com,,,Kyle.Tanner.Whitaker@dtaa.com,11306,0,take me seriously i will leave i am irreplaceable two faced bad things angry outraged angry i am irreplaceable bad things i am irreplaceable i will leave two faced i will leave bad things two faced angry i am irreplaceable i will leave i am irreplaceable angry i am irreplaceable two faced bad things i am irreplaceable angry angry i will leave outraged i will leave two faced i am irreplaceable i will leave outraged i will leave angry not my fault i am irreplaceable i will leave angry i am irreplaceable

{T4C7-Y3QZ72HF-6480CLRQ},07/08/2010 16:15:06,TIH0348,PC-2340,Kyle.Tanner.Whitaker@dtaa.com,,,Tatiana.Indira.Hanson@dtaa.com,21637,0,take some time off training lets talk today no one is irreplaceable no one is irreplaceable take some time off promote training valued employee you are diligent valued employee promote assistance training demanding job lets talk today promote promote assistance valued employee assistance promote lets talk today demanding job lets talk today training take some time off valued employee take some time off assistance demanding job unrelenting unrelenting demanding job valued employee demanding job take some time off take some time off unrelenting lets talk today take some time off valued employee

{L9P8-E9XP47IB-0015YTUX},07/09/2010 20:43:29,TIH0348,PC-2340,Blaine.John.Whitney@dtaa.com;Jessamine.Hedwig.Holden@dtaa.com;Signe.Dora.Mcdowell@dtaa.com;Chava.Darrel.Lindsey@dtaa.com,Shelly.Amy.Morin@dtaa.com;Aiko.Shellie.Weber@dtaa.com;Channing.Stephen.Carson@dtaa.com;Neve.Pamela.Andrews@dtaa.com;Irene.Patience.Burnett@dtaa.com,,Tatiana.Indira.Hanson@dtaa.com,32269,0,notice project funding refocus cancelled disolve disolve terminated budget project rescind funding terminated disolve budget hr intention terminated budget down size hr funding terminated intention budget terminated notice notice budget hr project rescind project project notice reallocate reassign notice cancelled refocus funding disolve
